
========================================================================
                       optimization routine : 2
                     set of starting values : 1
========================================================================
theta2 starting values:
   -2.586421   -0.616377    0.227579   -0.715240   -0.990075   -0.381565    0.358318    0.611703    0.734786    0.618955   -1.817857   -1.368475    0.484120
 
 Iteration   Func-count     min f(x)         Procedure
   157          206          917.385         reflect
   158          207          917.385         reflect
   159          209          778.364         expand
   160          210          778.364         reflect
   161          211          778.364         reflect
   162          212          778.364         reflect
   163          213          778.364         reflect
   164          214          778.364         reflect
   165          215          778.364         reflect
   166          216          778.364         reflect
   167          217          778.364         reflect
   168          218          778.364         reflect
   169          220          762.498         reflect
   170          221          762.498         reflect
   171          222          762.498         reflect
   172          223          762.498         reflect
   173          225          748.206         reflect
   174          227          743.431         reflect
   175          228          743.431         reflect
   176          230          743.431         contract outside
   177          232          663.267         expand
   178          233          663.267         reflect
   179          234          663.267         reflect
   180          236          663.267         contract inside
   181          237          663.267         reflect
   182          238          663.267         reflect
   183          239          663.267         reflect
   184          241          663.267         contract inside
   185          242          663.267         reflect
   186          243          663.267         reflect
   187          244          663.267         reflect
   188          246          663.267         contract outside
   189          247          663.267         reflect
   190          248          663.267         reflect
   191          250          610.791         expand
   192          252          610.791         contract inside
   193          253          610.791         reflect
   194          254          610.791         reflect
   195          256          528.547         expand
   196          258          528.547         contract inside
   197          259          528.547         reflect
   198          260          528.547         reflect
   199          261          528.547         reflect
   200          262          528.547         reflect
   201          263          528.547         reflect
   202          264          528.547         reflect
   203          266          496.276         expand
   204          267          496.276         reflect
   205          268          496.276         reflect
   206          270           483.57         reflect
   207          271           483.57         reflect
   208          272           483.57         reflect
   209          273           483.57         reflect
   210          275          483.249         reflect
   211          277          462.539         reflect
   212          279          416.888         expand
   213          280          416.888         reflect
   214          281          416.888         reflect
   215          282          416.888         reflect
   216          283          416.888         reflect
   217          285          414.912         reflect
   218          287          414.912         contract inside
   219          288          414.912         reflect
   220          290          414.912         contract inside
   221          291          414.912         reflect
   222          292          414.912         reflect
   223          293          414.912         reflect
   224          295          414.905         reflect
   225          296          414.905         reflect
   226          297          414.905         reflect
   227          298          414.905         reflect
   228          300          414.223         reflect
   229          301          414.223         reflect
   230          303          414.223         contract inside
   231          305           406.48         reflect
   232          307           406.48         contract outside
   233          308           406.48         reflect
   234          309           406.48         reflect
   235          311           406.48         contract outside
   236          312           406.48         reflect
   237          314          406.024         contract outside
   238          316          406.024         contract inside
   239          318          401.603         contract inside
   240          319          401.603         reflect
   241          321          401.603         contract inside
   242          323           398.68         contract inside
   243          325           398.68         contract inside
   244          327          388.023         reflect
   245          329          388.023         contract inside
   246          330          388.023         reflect
   247          331          388.023         reflect
   248          332          388.023         reflect
   249          334          388.023         contract inside
   250          335          388.023         reflect
   251          336          388.023         reflect
   252          338          388.023         contract inside
   253          340          388.023         contract inside
   254          341          388.023         reflect
   255          342          388.023         reflect
   256          343          388.023         reflect
   257          345          388.023         contract inside
   258          347          388.023         contract inside
   259          348          388.023         reflect
   260          350          385.331         reflect
   261          352          384.514         reflect
   262          353          384.514         reflect
   263          355          384.514         contract inside
   264          357          383.137         reflect
   265          358          383.137         reflect
   266          359          383.137         reflect
   267          360          383.137         reflect
   268          362          379.221         reflect
   269          363          379.221         reflect
   270          365          373.782         expand
   271          366          373.782         reflect
   272          367          373.782         reflect
   273          368          373.782         reflect
   274          369          373.782         reflect
   275          370          373.782         reflect
   276          372           356.16         expand
   277          373           356.16         reflect
   278          374           356.16         reflect
   279          375           356.16         reflect
   280          376           356.16         reflect
   281          377           356.16         reflect
   282          378           356.16         reflect
   283          379           356.16         reflect
   284          380           356.16         reflect
   285          381           356.16         reflect
   286          383          340.198         expand
   287          384          340.198         reflect
   288          385          340.198         reflect
   289          386          340.198         reflect
   290          387          340.198         reflect
   291          388          340.198         reflect
   292          389          340.198         reflect
   293          390          340.198         reflect
   294          392          323.992         expand
   295          393          323.992         reflect
   296          394          323.992         reflect
   297          395          323.992         reflect
   298          396          323.992         reflect
   299          397          323.992         reflect
   300          399          301.558         expand
   301          400          301.558         reflect
   302          401          301.558         reflect
   303          402          301.558         reflect
   304          403          301.558         reflect
   305          404          301.558         reflect
   306          405          301.558         reflect
   307          406          301.558         reflect
   308          408          292.245         expand
   309          409          292.245         reflect
   310          411          276.017         expand
   311          412          276.017         reflect
   312          413          276.017         reflect
   313          414          276.017         reflect
   314          415          276.017         reflect
   315          417          264.187         expand
   316          419          235.407         expand
   317          420          235.407         reflect
   318          421          235.407         reflect
   319          422          235.407         reflect
   320          423          235.407         reflect
   321          425          210.773         expand
   322          426          210.773         reflect
   323          427          210.773         reflect
   324          428          210.773         reflect
   325          429          210.773         reflect
   326          430          210.773         reflect
   327          432          185.426         expand
   328          433          185.426         reflect
   329          434          185.426         reflect
   330          435          185.426         reflect
   331          437          169.413         expand
   332          438          169.413         reflect
   333          439          169.413         reflect
   334          440          169.413         reflect
   335          441          169.413         reflect
   336          442          169.413         reflect
   337          444          164.667         reflect
   338          445          164.667         reflect
   339          446          164.667         reflect
   340          447          164.667         reflect
   341          448          164.667         reflect
   342          449          164.667         reflect
   343          450          164.667         reflect
   344          451          164.667         reflect
   345          453          164.667         contract inside
   346          455          162.093         reflect
   347          457          159.659         reflect
   348          458          159.659         reflect
   349          459          159.659         reflect
   350          460          159.659         reflect
   351          461          159.659         reflect
   352          462          159.659         reflect
   353          464          159.659         contract inside
   354          466          159.659         contract inside
   355          467          159.659         reflect
   356          468          159.659         reflect
   357          470          159.659         contract inside
   358          472          159.659         contract inside
   359          474          159.659         contract inside
   360          475          159.659         reflect
   361          477          159.659         contract outside
   362          479          159.659         contract inside
   363          481          159.659         contract inside
   364          483          159.659         contract inside
   365          485          159.659         contract inside
   366          487           158.88         reflect
   367          488           158.88         reflect
   368          490           158.88         contract outside
   369          492           158.88         contract inside
   370          494           158.88         contract inside
   371          495           158.88         reflect
   372          496           158.88         reflect
   373          497           158.88         reflect
   374          498           158.88         reflect
   375          499           158.88         reflect
   376          501          158.748         contract outside
   377          502          158.748         reflect
   378          504          156.884         reflect
   379          506          156.884         contract inside
   380          508          156.884         contract inside
   381          509          156.884         reflect
   382          510          156.884         reflect
   383          511          156.884         reflect
   384          513          156.884         contract inside
   385          515          156.497         reflect
   386          517          156.497         contract inside
   387          518          156.497         reflect
   388          519          156.497         reflect
   389          520          156.497         reflect
   390          521          156.497         reflect
   391          523          156.497         contract inside
   392          525          156.497         contract inside
   393          526          156.497         reflect
   394          528          156.497         contract inside
   395          530          156.204         reflect
   396          532          154.528         expand
   397          533          154.528         reflect
   398          534          154.528         reflect
   399          535          154.528         reflect
   400          537          154.528         contract outside
   401          538          154.528         reflect
   402          539          154.528         reflect
   403          540          154.528         reflect
   404          541          154.528         reflect
   405          543          153.724         expand
   406          544          153.724         reflect
   407          545          153.724         reflect
   408          546          153.724         reflect
   409          548          152.881         expand
   410          549          152.881         reflect
   411          550          152.881         reflect
   412          552          150.842         expand
   413          553          150.842         reflect
   414          554          150.842         reflect
   415          555          150.842         reflect
   416          556          150.842         reflect
   417          557          150.842         reflect
   418          558          150.842         reflect
   419          559          150.842         reflect
   420          561          147.427         expand
   421          562          147.427         reflect
   422          563          147.427         reflect
   423          564          147.427         reflect
   424          565          147.427         reflect
   425          566          147.427         reflect
   426          567          147.427         reflect
   427          568          147.427         reflect
   428          570          147.206         reflect
   429          572          147.082         reflect
   430          574          142.608         expand
   431          575          142.608         reflect
   432          576          142.608         reflect
   433          577          142.608         reflect
   434          578          142.608         reflect
   435          580          140.495         expand
   436          581          140.495         reflect
   437          582          140.495         reflect
   438          583          140.495         reflect
   439          584          140.495         reflect
   440          586           135.96         expand
   441          587           135.96         reflect
   442          588           135.96         reflect
   443          589           135.96         reflect
   444          590           135.96         reflect
   445          591           135.96         reflect
   446          593          131.272         expand
   447          594          131.272         reflect
   448          595          131.272         reflect
   449          596          131.272         reflect
   450          598          126.345         expand
   451          599          126.345         reflect
   452          600          126.345         reflect
   453          601          126.345         reflect
   454          602          126.345         reflect
   455          604            120.5         expand
   456          605            120.5         reflect
   457          606            120.5         reflect
   458          608          114.302         expand
   459          609          114.302         reflect
   460          610          114.302         reflect
   461          611          114.302         reflect
   462          612          114.302         reflect
   463          614          107.305         expand
   464          615          107.305         reflect
   465          616          107.305         reflect
   466          617          107.305         reflect
   467          619          99.8235         expand
   468          620          99.8235         reflect
   469          621          99.8235         reflect
   470          622          99.8235         reflect
   471          623          99.8235         reflect
   472          625          93.5564         expand
   473          626          93.5564         reflect
   474          627          93.5564         reflect
   475          628          93.5564         reflect
   476          630          89.3312         expand
   477          631          89.3312         reflect
   478          633          87.8454         reflect
   479          635          87.3279         expand
   480          636          87.3279         reflect
   481          637          87.3279         reflect
   482          638          87.3279         reflect
   483          639          87.3279         reflect
   484          640          87.3279         reflect
   485          642          87.3279         contract inside
   486          644          87.3279         contract inside
   487          646          87.3279         contract inside
   488          648          87.3279         contract inside
   489          650          84.7599         reflect
   490          651          84.7599         reflect
   491          652          84.7599         reflect
   492          653          84.7599         reflect
   493          655          84.7599         contract inside
   494          657          84.7599         contract inside
   495          659          84.7599         contract inside
   496          660          84.7599         reflect
   497          662          84.7599         contract inside
   498          663          84.7599         reflect
   499          665           84.504         reflect
   500          666           84.504         reflect
   501          667           84.504         reflect
   502          668           84.504         reflect
   503          669           84.504         reflect
   504          671          84.2077         contract inside
   505          673          84.2077         contract outside
   506          674          84.2077         reflect
   507          676          83.5096         reflect
   508          678          83.5096         contract inside
   509          679          83.5096         reflect
   510          680          83.5096         reflect
   511          681          83.5096         reflect
   512          683          83.0701         reflect
   513          685          83.0701         contract inside
   514          686          83.0701         reflect
   515          688          83.0701         contract inside
   516          690          83.0701         contract inside
   517          692          82.2453         reflect
   518          693          82.2453         reflect
   519          694          82.2453         reflect
   520          696          82.2453         contract inside
   521          698          81.6366         reflect
   522          699          81.6366         reflect
   523          701          81.6366         contract inside
   524          703          81.6366         contract inside
   525          704          81.6366         reflect
   526          705          81.6366         reflect
   527          706          81.6366         reflect
   528          707          81.6366         reflect
   529          709          81.6366         contract inside
   530          711          81.6366         contract inside
   531          712          81.6366         reflect
   532          714          81.4806         reflect
   533          716          81.3446         reflect
   534          717          81.3446         reflect
   535          719          81.3446         contract inside
   536          721          80.9181         reflect
   537          723          80.9181         contract outside
   538          724          80.9181         reflect
   539          725          80.9181         reflect
   540          726          80.9181         reflect
   541          727          80.9181         reflect
   542          728          80.9181         reflect
   543          730          80.9181         contract inside
   544          731          80.9181         reflect
   545          733          79.7787         expand
   546          734          79.7787         reflect
   547          735          79.7787         reflect
   548          736          79.7787         reflect
   549          738          79.7787         contract outside
   550          739          79.7787         reflect
   551          740          79.7787         reflect
   552          741          79.7787         reflect
   553          742          79.7787         reflect
   554          744          79.5154         reflect
   555          745          79.5154         reflect
   556          746          79.5154         reflect
   557          748          79.5081         reflect
   558          750          79.3759         reflect
   559          752          79.0227         reflect
   560          753          79.0227         reflect
   561          755          78.9961         reflect
   562          756          78.9961         reflect
   563          757          78.9961         reflect
   564          759          78.4151         expand
   565          760          78.4151         reflect
   566          761          78.4151         reflect
   567          762          78.4151         reflect
   568          763          78.4151         reflect
   569          765          78.4151         contract inside
   570          766          78.4151         reflect
   571          768          77.9767         expand
   572          770          77.9767         contract inside
   573          772          77.9767         contract inside
   574          773          77.9767         reflect
   575          774          77.9767         reflect
   576          775          77.9767         reflect
   577          776          77.9767         reflect
   578          777          77.9767         reflect
   579          779           77.971         reflect
   580          781          77.6198         expand
   581          782          77.6198         reflect
   582          783          77.6198         reflect
   583          784          77.6198         reflect
   584          785          77.6198         reflect
   585          787           77.483         reflect
   586          788           77.483         reflect
   587          789           77.483         reflect
   588          790           77.483         reflect
   589          792           77.483         contract inside
   590          793           77.483         reflect
   591          794           77.483         reflect
   592          795           77.483         reflect
   593          797          77.4801         reflect
   594          799          77.4801         contract inside
   595          801          77.4801         contract inside
   596          802          77.4801         reflect
   597          804          76.7733         expand
   598          805          76.7733         reflect
   599          806          76.7733         reflect
   600          807          76.7733         reflect
   601          808          76.7733         reflect
   602          809          76.7733         reflect
   603          810          76.7733         reflect
   604          811          76.7733         reflect
   605          813          76.6945         reflect
   606          814          76.6945         reflect
   607          816          76.6025         reflect
   608          817          76.6025         reflect
   609          818          76.6025         reflect
   610          819          76.6025         reflect
   611          821          75.4628         expand
   612          822          75.4628         reflect
   613          823          75.4628         reflect
   614          824          75.4628         reflect
   615          825          75.4628         reflect
   616          826          75.4628         reflect
   617          827          75.4628         reflect
   618          828          75.4628         reflect
   619          829          75.4628         reflect
   620          830          75.4628         reflect
   621          831          75.4628         reflect
   622          832          75.4628         reflect
   623          833          75.4628         reflect
   624          835          75.2654         expand
   625          837          74.3706         expand
   626          838          74.3706         reflect
   627          839          74.3706         reflect
   628          840          74.3706         reflect
   629          841          74.3706         reflect
   630          842          74.3706         reflect
   631          843          74.3706         reflect
   632          845          73.6005         expand
   633          846          73.6005         reflect
   634          847          73.6005         reflect
   635          848          73.6005         reflect
   636          849          73.6005         reflect
   637          851          72.1385         expand
   638          852          72.1385         reflect
   639          853          72.1385         reflect
   640          854          72.1385         reflect
   641          855          72.1385         reflect
   642          856          72.1385         reflect
   643          858          71.0935         expand
   644          859          71.0935         reflect
   645          860          71.0935         reflect
   646          861          71.0935         reflect
   647          863          70.4746         expand
   648          864          70.4746         reflect
   649          866            69.62         expand
   650          867            69.62         reflect
   651          869          69.0777         expand
   652          870          69.0777         reflect
   653          872          67.5331         expand
   654          873          67.5331         reflect
   655          874          67.5331         reflect
   656          876          67.3095         expand
   657          877          67.3095         reflect
   658          879          66.8635         reflect
   659          880          66.8635         reflect
   660          881          66.8635         reflect
   661          882          66.8635         reflect
   662          883          66.8635         reflect
   663          885          65.7716         reflect
   664          886          65.7716         reflect
   665          887          65.7716         reflect
   666          889          65.7716         contract outside
   667          890          65.7716         reflect
   668          891          65.7716         reflect
   669          892          65.7716         reflect
   670          893          65.7716         reflect
   671          894          65.7716         reflect
   672          895          65.7716         reflect
   673          897          65.7716         contract inside
   674          899          65.7716         contract inside
   675          900          65.7716         reflect
   676          901          65.7716         reflect
   677          903          65.7716         contract inside
   678          905          65.7716         contract inside
   679          906          65.7716         reflect
   680          908          65.7716         contract inside
   681          910          65.7716         contract inside
   682          911          65.7716         reflect
   683          912          65.7716         reflect
   684          913          65.7716         reflect
   685          914          65.7716         reflect
   686          915          65.7716         reflect
   687          917          65.7716         contract inside
   688          918          65.7716         reflect
   689          920          65.7716         contract inside
   690          921          65.7716         reflect
   691          923          65.7716         contract inside
   692          924          65.7716         reflect
   693          926          65.7716         contract inside
   694          928          65.7716         contract inside
   695          930          65.7716         contract inside
   696          931          65.7716         reflect
   697          932          65.7716         reflect
   698          933          65.7716         reflect
   699          934          65.7716         reflect
   700          935          65.7716         reflect
   701          936          65.7716         reflect
   702          938          65.7716         contract inside
   703          940          65.7716         contract inside
   704          941          65.7716         reflect
   705          943          65.7503         contract inside
   706          945          65.7191         reflect
   707          946          65.7191         reflect
   708          947          65.7191         reflect
   709          948          65.7191         reflect
   710          949          65.7191         reflect
   711          950          65.7191         reflect
   712          952          65.6737         contract inside
   713          954          65.6436         contract inside
   714          955          65.6436         reflect
   715          957          65.6404         contract inside
   716          958          65.6404         reflect
   717          960          65.6404         contract inside
   718          962          65.6404         contract inside
   719          964          65.5785         reflect
   720          966          65.5785         contract inside
   721          968          65.5785         contract inside
   722          970          65.5785         contract inside
   723          972          65.5785         contract outside
   724          974          65.5785         contract inside
   725          976          65.5785         contract inside
   726          977          65.5785         reflect
   727          979          65.5785         contract inside
   728          980          65.5785         reflect
   729          982          65.5785         contract inside
   730          984          65.5647         reflect
   731          985          65.5647         reflect
   732          986          65.5647         reflect
   733          988          65.5647         contract inside
   734          989          65.5647         reflect
   735          990          65.5647         reflect
   736          991          65.5647         reflect
   737          992          65.5647         reflect
   738          993          65.5647         reflect
   739          995          65.5197         reflect
   740          997          65.5197         contract outside
   741          998          65.5197         reflect
   742          999          65.5197         reflect
   743         1001          65.5191         reflect
   744         1003          65.5191         contract outside
   745         1005          65.5071         reflect
   746         1006          65.5071         reflect
   747         1008          65.4556         expand
   748         1009          65.4556         reflect
   749         1011          65.4556         contract inside
   750         1012          65.4556         reflect
   751         1013          65.4556         reflect
   752         1014          65.4556         reflect
   753         1015          65.4556         reflect
   754         1017          65.4525         reflect
   755         1018          65.4525         reflect
   756         1019          65.4525         reflect
   757         1021          65.4525         contract inside
   758         1023          65.4525         contract inside
   759         1025          65.3639         expand
   760         1026          65.3639         reflect
   761         1027          65.3639         reflect
   762         1028          65.3639         reflect
   763         1029          65.3639         reflect
   764         1030          65.3639         reflect
   765         1032          65.3639         contract inside
   766         1033          65.3639         reflect
   767         1034          65.3639         reflect
   768         1035          65.3639         reflect
   769         1037          65.3249         expand
   770         1038          65.3249         reflect
   771         1039          65.3249         reflect
   772         1040          65.3249         reflect
   773         1042          65.3009         expand
   774         1044          65.2544         expand
   775         1045          65.2544         reflect
   776         1046          65.2544         reflect
   777         1047          65.2544         reflect
   778         1048          65.2544         reflect
   779         1050          65.1944         expand
   780         1051          65.1944         reflect
   781         1053          65.1006         expand
   782         1054          65.1006         reflect
   783         1055          65.1006         reflect
   784         1056          65.1006         reflect
   785         1057          65.1006         reflect
   786         1058          65.1006         reflect
   787         1060          65.0905         expand
   788         1062          64.9368         expand
   789         1063          64.9368         reflect
   790         1064          64.9368         reflect
   791         1065          64.9368         reflect
   792         1067          64.8006         expand
   793         1068          64.8006         reflect
   794         1069          64.8006         reflect
   795         1070          64.8006         reflect
   796         1071          64.8006         reflect
   797         1072          64.8006         reflect
   798         1073          64.8006         reflect
   799         1075          64.7215         expand
   800         1077          64.6592         expand
   801         1078          64.6592         reflect
   802         1079          64.6592         reflect
   803         1081          64.6327         reflect
   804         1083          64.5622         expand
   805         1084          64.5622         reflect
   806         1086          64.4966         expand
   807         1088           64.278         expand
   808         1089           64.278         reflect
   809         1091          63.9527         expand
   810         1092          63.9527         reflect
   811         1093          63.9527         reflect
   812         1094          63.9527         reflect
   813         1095          63.9527         reflect
   814         1096          63.9527         reflect
